norm,lambda,eta,date,regime,eq_idx,bd_idx
L2,3.0,8.0,1998-09-30,stressed,1.6645165883888706,1.186609436199298
L2,3.0,8.0,1998-10-31,normal,1.792840830254122,1.1765523632162922
L2,3.0,8.0,1998-11-30,normal,1.8932865306099393,1.1795683504924201
L2,3.0,8.0,1998-12-31,normal,1.992826069956757,1.1786325489050604
L2,3.0,8.0,1999-01-31,normal,2.067574983014765,1.1829195293233763
L2,3.0,8.0,1999-02-28,normal,1.9935909473975477,1.158129285407473
L2,3.0,8.0,1999-03-31,normal,2.0623578735370787,1.1595672936165486
L2,3.0,8.0,1999-04-30,normal,2.1329812565584825,1.1589504033727511
L2,3.0,8.0,1999-05-31,normal,2.0724685783099184,1.1448587630673874
L2,3.0,8.0,1999-06-30,normal,2.176999748462714,1.1366319221529069
L2,3.0,8.0,1999-07-31,normal,2.0989630154793195,1.1274735975580878
L2,3.0,8.0,1999-08-31,stressed,2.0776501450201423,1.1225028880574688
L2,3.0,8.0,1999-09-30,stressed,2.0102262425139488,1.1311567651653172
L2,3.0,8.0,1999-10-31,normal,2.1281059093749666,1.1309188139674624
L2,3.0,8.0,1999-11-30,normal,2.1610106829457223,1.1267665190332192
L2,3.0,8.0,1999-12-31,normal,2.2765037378850734,1.1163752406536613
L2,3.0,8.0,2000-01-31,stressed,2.151286926286443,1.1081426845873896
L2,3.0,8.0,2000-02-29,stressed,2.0987783149896435,1.116779074114713
L2,3.0,8.0,2000-03-31,normal,2.2919078955349903,1.1262423198310292
L2,3.0,8.0,2000-04-30,normal,2.210783523664634,1.11783678410672
L2,3.0,8.0,2000-05-31,stressed,2.1512802851252,1.1117345353219368
L2,3.0,8.0,2000-06-30,stressed,2.194163906328886,1.1304170998876835
L2,3.0,8.0,2000-07-31,stressed,2.147777087185187,1.1352523263992282
L2,3.0,8.0,2000-08-31,normal,2.2674061231643146,1.146030125415498
L2,3.0,8.0,2000-09-30,stressed,2.1345746702509794,1.147390509684952
L2,3.0,8.0,2000-10-31,stressed,2.112054907479832,1.1485576948392233
L2,3.0,8.0,2000-11-30,stressed,1.932173303064682,1.1614800669622234
L2,3.0,8.0,2000-12-31,normal,1.9303435349466795,1.177218514016695
L2,3.0,8.0,2001-01-31,normal,1.9867809888779155,1.1901133346419999
L2,3.0,8.0,2001-02-28,normal,1.7958692168756476,1.1959583147721893
L2,3.0,8.0,2001-03-31,normal,1.6730227830952689,1.1969392728377146
L2,3.0,8.0,2001-04-30,normal,1.7950095663018772,1.1873033618579634
L2,3.0,8.0,2001-05-31,normal,1.7984021343821877,1.1906654837062296
L2,3.0,8.0,2001-06-30,stressed,1.7483993614378253,1.1918304969179891
L2,3.0,8.0,2001-07-31,stressed,1.7243204054321035,1.2149010695887876
L2,3.0,8.0,2001-08-31,stressed,1.6084322796238226,1.2250472741589102
L2,3.0,8.0,2001-09-30,stressed,1.4724827580531783,1.235892304323708
L2,3.0,8.0,2001-10-31,normal,1.495893761423466,1.2590351849554613
L2,3.0,8.0,2001-11-30,normal,1.6058060514378167,1.2395359044225662
L2,3.0,8.0,2001-12-31,normal,1.61555971739425,1.2298053303501981
L2,3.0,8.0,2002-01-31,normal,1.5881372067511998,1.2380388275044714
L2,3.0,8.0,2002-02-28,normal,1.5530933711470278,1.2484271978723955
L2,3.0,8.0,2002-03-31,normal,1.6081334471271074,1.2260356054941945
L2,3.0,8.0,2002-04-30,normal,1.5069529069007639,1.2479718438684848
L2,3.0,8.0,2002-05-31,normal,1.491158533483537,1.2568284448270273
L2,3.0,8.0,2002-06-30,stressed,1.381163224261124,1.2660619497124532
L2,3.0,8.0,2002-07-31,stressed,1.2699864905242249,1.2794397682313425
L2,3.0,8.0,2002-08-31,stressed,1.2744073134977398,1.2992507218789846
L2,3.0,8.0,2002-09-30,stressed,1.1324217714790161,1.3184739273183126
L2,3.0,8.0,2002-10-31,normal,1.2287183892385058,1.3106225825486109
L2,3.0,8.0,2002-11-30,normal,1.2973668856452614,1.308701310362037
L2,3.0,8.0,2002-12-31,normal,1.217665745759416,1.3342940283123865
L2,3.0,8.0,2003-01-31,normal,1.1830657735936623,1.3340988549710953
L2,3.0,8.0,2003-02-28,normal,1.1618841639832413,1.351369419407912
L2,3.0,8.0,2003-03-31,normal,1.17043330766183,1.348964854557398
L2,3.0,8.0,2003-04-30,normal,1.2641194713403137,1.3587470676192155
L2,3.0,8.0,2003-05-31,normal,1.327324180787858,1.3828580431131747
L2,3.0,8.0,2003-06-30,normal,1.3410248209819502,1.3787304246330845
L2,3.0,8.0,2003-07-31,normal,1.361842890302874,1.3314134188718347
L2,3.0,8.0,2003-08-31,normal,1.3852298182580456,1.3393209852839472
L2,3.0,8.0,2003-09-30,normal,1.3675764494541651,1.37370221284067
L2,3.0,8.0,2003-10-31,normal,1.4417838827544471,1.3599290757147038
L2,3.0,8.0,2003-11-30,normal,1.4510531113366756,1.3622342127348128
L2,3.0,8.0,2003-12-31,normal,1.5235564310977239,1.37500707721514
L2,3.0,8.0,2004-01-31,normal,1.5488109024995995,1.3851069198661834
L2,3.0,8.0,2004-02-29,normal,1.5667910482667173,1.399268449626633
L2,3.0,8.0,2004-03-31,normal,1.539749801564682,1.4084882109486885
L2,3.0,8.0,2004-04-30,normal,1.5126640628053576,1.3707173239429173
L2,3.0,8.0,2004-05-31,normal,1.5300354969026144,1.36440397722023
L2,3.0,8.0,2004-06-30,normal,1.5563352770588732,1.3710234901595604
L2,3.0,8.0,2004-07-31,normal,1.5014106487961885,1.38324240110788
L2,3.0,8.0,2004-08-31,normal,1.5031928232363096,1.4081064241027061
L2,3.0,8.0,2004-09-30,normal,1.5156152087275345,1.4103784033403837
L2,3.0,8.0,2004-10-31,normal,1.535187863533042,1.4206540596614083
L2,3.0,8.0,2004-11-30,normal,1.5921356573308003,1.4071913588027276
L2,3.0,8.0,2004-12-31,normal,1.6412657794447143,1.417887592236891
L2,3.0,8.0,2005-01-31,normal,1.597132142635446,1.4245225600971534
L2,3.0,8.0,2005-02-28,normal,1.6247673200994672,1.4138340860877556
L2,3.0,8.0,2005-03-31,normal,1.5902930071015968,1.4036035697315543
L2,3.0,8.0,2005-04-30,normal,1.5549741897068774,1.4196523162389667
L2,3.0,8.0,2005-05-31,normal,1.5978168385816813,1.431604009955237
L2,3.0,8.0,2005-06-30,normal,1.5939133720450263,1.4361177254215967
L2,3.0,8.0,2005-07-31,normal,1.6474178561178339,1.4196089999575516
